ID,ControllerPath,Path,QueryString,DisplayUrl,Neo Response,SQL Response,Neo Exception,SQL Exception,SQL Duration,Neo Duration,isMatch
1,GetInstancesAgg,/api/instances/CL,"?context=64617&aggregations=Min(CL.REN),Max(CL.REN)&take=0","http://landscape-api:5555/api/instances/CL?context=64617&aggregations=Min(CL.REN),Max(CL.REN)&take=0","{""aggregations"":{""Min(CL.REN)"":""2020-01-11T00:00:00"",""Max(CL.REN)"":""2022-05-06T00:00:00""},""instances"":[],""mnemonic"":""CL""}","{""aggregations"":{""Min(CL.REN)"":""2020-01-11T00:00:00"",""Max(CL.REN)"":""2022-05-06T00:00:00""},""instances"":[],""mnemonic"":""CL""}",{},{},4117,187,FALSE
2,GetInstancesAgg,/api/instances/CL,"?context=64613&aggregations=Min(CL.REN),Max(CL.REN)&take=0","http://landscape-api:5555/api/instances/CL?context=64613&aggregations=Min(CL.REN),Max(CL.REN)&take=0","{""aggregations"":{""Min(CL.REN)"":""2018-01-11T00:00:00"",""Max(CL.REN)"":""2022-05-06T00:00:00""},""instances"":[],""mnemonic"":""CL""}","{""aggregations"":{""Min(CL.REN)"":""2018-01-11T00:00:00"",""Max(CL.REN)"":""2022-05-06T00:00:00""},""instances"":[],""mnemonic"":""CL""}",{},{},4015,468,TRUE
3,GetInstancesForPlanets,/api/instances/OD,?context=64616&skip=0&take=20&orderBy=OD.VER%20Asc,http://landscape-api:5555/api/instances/OD?context=64616&skip=0&take=20&orderBy=OD.VER%20Asc,"{""aggregations"":{},""instances"":[{""id"":""OS:Windows:10.1.0.0"",""mnemonic"":""OD"",""properties"":{""END"":""2016-06-12T00:00:00"",""PRO"":""OS:Windows:10.1.0.0"",""REL"":""2014-01-01T00:00:00"",""VER"":""10.1.0.0""}},{""id"":""OS:Windows:10.1.0.1"",""mnemonic"":""OD"",""properties"":{""END"":""2020-09-11T00:00:00"",""PRO"":""OS:Windows:10.1.0.1"",""REL"":""2016-06-04T00:00:00"",""VER"":""10.1.0.1""}},{""id"":""OS:Windows:10.1.0.2"",""mnemonic"":""OD"",""properties"":{""END"":null,""PRO"":""OS:Windows:10.1.0.2"",""REL"":""2020-06-12T00:00:00"",""VER"":""10.1.0.2""}},{""id"":""Site:Hubl:172.68.255"",""mnemonic"":""OD"",""properties"":{""END"":null,""PRO"":""Site:Hubl:172.68.255"",""REL"":""2020-01-01T00:00:00"",""VER"":""172.68.255""}},{""id"":""App:Word:2018.08.12"",""mnemonic"":""OD"",""properties"":{""END"":""2020-01-02T00:00:00"",""PRO"":""App:Word:2018.08.12"",""REL"":""2018-08-12T00:00:00"",""VER"":""2018.08.12""}},{""id"":""App:Word:2020.01.02"",""mnemonic"":""OD"",""properties"":{""END"":null,""PRO"":""App:Word:2020.01.02"",""REL"":""2020-01-02T00:00:00"",""VER"":""2020.01.02""}},{""id"":""Browser:Chrome:54.1.0"",""mnemonic"":""OD"",""properties"":{""END"":""2005-09-11T00:00:00"",""PRO"":""Browser:Chrome:54.1.0"",""REL"":""2000-06-04T00:00:00"",""VER"":""54.1.0""}},{""id"":""Browser:Chrome:64.1.2"",""mnemonic"":""OD"",""properties"":{""END"":""2010-06-12T00:00:00"",""PRO"":""Browser:Chrome:64.1.2"",""REL"":""2004-01-01T00:00:00"",""VER"":""64.1.2""}},{""id"":""Browser:Chrome:74.1.2"",""mnemonic"":""OD"",""properties"":{""END"":null,""PRO"":""Browser:Chrome:74.1.2"",""REL"":""2009-06-12T00:00:00"",""VER"":""74.1.2""}}],""mnemonic"":""OD""}","{""Message"":""Order by properties not present in this query: OD.VER (Parameter \u0027orderBy\u0027)"",""ParamName"":""orderBy""}",{},{},657,75,FALSE
4,GetDistribution,/api/tabulardata/distribution/OD/REL,?context=64618&levels=&granularity=YEAR,http://landscape-api:5555/api/tabulardata/distribution/OD/REL?context=64618&levels=&granularity=YEAR,"{""columns"":[{""element"":""OD"",""property"":""REL"",""displayName"":""Release Date"",""dataTypeString"":""DateTime"",""aggregate"":""LowerBound"",""type"":""Level""},{""element"":""OD"",""property"":""REL"",""displayName"":""Release Date"",""dataTypeString"":""DateTime"",""aggregate"":""UpperBound"",""type"":""Level""},{""element"":""OD"",""property"":null,""displayName"":null,""dataTypeString"":""Int32"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[""2000-01-01T00:00:00"",""2001-01-01T00:00:00"",1.0],[""2001-01-01T00:00:00"",""2002-01-01T00:00:00"",0.0],[""2002-01-01T00:00:00"",""2003-01-01T00:00:00"",0.0],[""2003-01-01T00:00:00"",""2004-01-01T00:00:00"",0.0],[""2004-01-01T00:00:00"",""2005-01-01T00:00:00"",1.0],[""2005-01-01T00:00:00"",""2006-01-01T00:00:00"",0.0],[""2006-01-01T00:00:00"",""2007-01-01T00:00:00"",0.0],[""2007-01-01T00:00:00"",""2008-01-01T00:00:00"",0.0],[""2008-01-01T00:00:00"",""2009-01-01T00:00:00"",0.0],[""2009-01-01T00:00:00"",""2010-01-01T00:00:00"",1.0],[""2010-01-01T00:00:00"",""2011-01-01T00:00:00"",0.0],[""2011-01-01T00:00:00"",""2012-01-01T00:00:00"",0.0],[""2012-01-01T00:00:00"",""2013-01-01T00:00:00"",0.0],[""2013-01-01T00:00:00"",""2014-01-01T00:00:00"",0.0],[""2014-01-01T00:00:00"",""2015-01-01T00:00:00"",1.0],[""2015-01-01T00:00:00"",""2016-01-01T00:00:00"",0.0],[""2016-01-01T00:00:00"",""2017-01-01T00:00:00"",1.0],[""2017-01-01T00:00:00"",""2018-01-01T00:00:00"",0.0],[""2018-01-01T00:00:00"",""2019-01-01T00:00:00"",1.0],[""2019-01-01T00:00:00"",""2020-01-01T00:00:00"",0.0],[""2020-01-01T00:00:00"",""2021-01-01T00:00:00"",3.0]],""totalRowCount"":21}","{""columns"":[{""element"":""OD"",""property"":""REL"",""displayName"":""Release Date"",""dataTypeString"":""DateTime"",""aggregate"":""LowerBound"",""type"":""Level""},{""element"":""OD"",""property"":""REL"",""displayName"":""Release Date"",""dataTypeString"":""DateTime"",""aggregate"":""UpperBound"",""type"":""Level""},{""element"":""OD"",""property"":null,""displayName"":null,""dataTypeString"":""Int32"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[""2000-01-01T00:00:00"",""2001-01-01T00:00:00"",1],[""2001-01-01T00:00:00"",""2002-01-01T00:00:00"",0],[""2002-01-01T00:00:00"",""2003-01-01T00:00:00"",0],[""2003-01-01T00:00:00"",""2004-01-01T00:00:00"",0],[""2004-01-01T00:00:00"",""2005-01-01T00:00:00"",1],[""2005-01-01T00:00:00"",""2006-01-01T00:00:00"",0],[""2006-01-01T00:00:00"",""2007-01-01T00:00:00"",0],[""2007-01-01T00:00:00"",""2008-01-01T00:00:00"",0],[""2008-01-01T00:00:00"",""2009-01-01T00:00:00"",0],[""2009-01-01T00:00:00"",""2010-01-01T00:00:00"",1],[""2010-01-01T00:00:00"",""2011-01-01T00:00:00"",0],[""2011-01-01T00:00:00"",""2012-01-01T00:00:00"",0],[""2012-01-01T00:00:00"",""2013-01-01T00:00:00"",0],[""2013-01-01T00:00:00"",""2014-01-01T00:00:00"",0],[""2014-01-01T00:00:00"",""2015-01-01T00:00:00"",1],[""2015-01-01T00:00:00"",""2016-01-01T00:00:00"",0],[""2016-01-01T00:00:00"",""2017-01-01T00:00:00"",1],[""2017-01-01T00:00:00"",""2018-01-01T00:00:00"",0],[""2018-01-01T00:00:00"",""2019-01-01T00:00:00"",1],[""2019-01-01T00:00:00"",""2020-01-01T00:00:00"",0],[""2020-01-01T00:00:00"",""2021-01-01T00:00:00"",3],[""2021-01-01T00:00:00"",""2022-01-01T00:00:00"",0],[""2022-01-01T00:00:00"",""2023-01-01T00:00:00"",0],[""2023-01-01T00:00:00"",""2024-01-01T00:00:00"",0],[""2024-01-01T00:00:00"",""2025-01-01T00:00:00"",0],[""2025-01-01T00:00:00"",""2026-01-01T00:00:00"",0],[""2026-01-01T00:00:00"",""2027-01-01T00:00:00"",0],[""2027-01-01T00:00:00"",""2028-01-01T00:00:00"",0],[""2028-01-01T00:00:00"",""2029-01-01T00:00:00"",0],[""2029-01-01T00:00:00"",""2030-01-01T00:00:00"",0],[""2030-01-01T00:00:00"",""2031-01-01T00:00:00"",0],[""2031-01-01T00:00:00"",""2032-01-01T00:00:00"",0],[""2032-01-01T00:00:00"",""2033-01-01T00:00:00"",0],[""2033-01-01T00:00:00"",""2034-01-01T00:00:00"",0],[""2034-01-01T00:00:00"",""2035-01-01T00:00:00"",0],[""2035-01-01T00:00:00"",""2036-01-01T00:00:00"",0],[""2036-01-01T00:00:00"",""2037-01-01T00:00:00"",0],[""2037-01-01T00:00:00"",""2038-01-01T00:00:00"",0],[""2038-01-01T00:00:00"",""2039-01-01T00:00:00"",0],[""2039-01-01T00:00:00"",""2040-01-01T00:00:00"",0]],""totalRowCount"":40}",{},{},183,53,FALSE
5,GetProperties,/api/properties/PR/CAT,"?context=64614&aggregations=Count(PR)&orderBy=Count(PR)%20Desc,PR.CAT%20Asc","http://landscape-api:5555/api/properties/PR/CAT?context=64614&aggregations=Count(PR)&orderBy=Count(PR)%20Desc,PR.CAT%20Asc","[{""PR.CAT"":""Desktop Application"",""Count(PR)"":2},{""PR.CAT"":""Operating System"",""Count(PR)"":1},{""PR.CAT"":""Web application"",""Count(PR)"":1},{""PR.CAT"":null,""Count(PR)"":0},{""PR.CAT"":""Browser Plugin"",""Count(PR)"":0}]","[{""Count(PR)"":2,""PR.CAT"":""Desktop Application""},{""Count(PR)"":1,""PR.CAT"":""Operating System""},{""Count(PR)"":1,""PR.CAT"":""Web application""}]",{},{},182,226,FALSE
6,GetAllInstances,/api/instances,"?context=64616&elements=CL,OD,PR,RO&take=0&aggregations=count(CL),count(OD),count(PR),count(RO)","http://landscape-api:5555/api/instances?context=64616&elements=CL,OD,PR,RO&take=0&aggregations=count(CL),count(OD),count(PR),count(RO)","[{""aggregations"":{""Count(CL)"":3},""instances"":[],""mnemonic"":""CL""},{""aggregations"":{""Count(OD)"":9},""instances"":[],""mnemonic"":""OD""},{""aggregations"":{""Count(PR)"":4},""instances"":[],""mnemonic"":""PR""},{""aggregations"":{""Count(RO)"":22},""instances"":[],""mnemonic"":""RO""}]","[{""aggregations"":{""Count(CL)"":3},""instances"":[],""mnemonic"":""CL""},{""aggregations"":{""Count(OD)"":9},""instances"":[],""mnemonic"":""OD""},{""aggregations"":{""Count(PR)"":4},""instances"":[],""mnemonic"":""PR""},{""aggregations"":{""Count(RO)"":22},""instances"":[],""mnemonic"":""RO""}]",{},{},118,659,FALSE
7,GetAllInstances,/api/instances,"?context=64615&elements=CL,RO&take=0&aggregations=count(CL),count(RO)","http://landscape-api:5555/api/instances?context=64615&elements=CL,RO&take=0&aggregations=count(CL),count(RO)","[{""aggregations"":{""Count(CL)"":3},""instances"":[],""mnemonic"":""CL""},{""aggregations"":{""Count(RO)"":22},""instances"":[],""mnemonic"":""RO""}]","[{""aggregations"":{""Count(CL)"":3},""instances"":[],""mnemonic"":""CL""},{""aggregations"":{""Count(RO)"":22},""instances"":[],""mnemonic"":""RO""}]",{},{},86,80,TRUE
8,GetAllInstances,/api/instances,?context=64613&elements=CL&take=0&aggregations=count(CL),http://landscape-api:5555/api/instances?context=64613&elements=CL&take=0&aggregations=count(CL),"[{""aggregations"":{""Count(CL)"":4},""instances"":[],""mnemonic"":""CL""}]","[{""aggregations"":{""Count(CL)"":4},""instances"":[],""mnemonic"":""CL""}]",{},{},75,485,TRUE
9,GetTabularData,/api/tabulardata,?context=64618&facts=COUNTDISTINCT%28OD.PRO%29,http://landscape-api:5555/api/tabulardata?context=64618&facts=COUNTDISTINCT%28OD.PRO%29,"{""columns"":[{""element"":""OD"",""property"":""PRO"",""displayName"":""Product Version Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[9]],""totalRowCount"":1}","{""columns"":[{""element"":""OD"",""property"":""PRO"",""displayName"":""Product Version Reference"",""dataTypeString"":""String"",""aggregate"":""Count"",""type"":""Fact""}],""data"":[[9]],""totalRowCount"":1}",{},{},74,33,TRUE
10,GetInstancesAgg,/api/instances/RO,"?context=64616&aggregations=Min(RO.REM),Max(RO.REM)&take=0","http://landscape-api:5555/api/instances/RO?context=64616&aggregations=Min(RO.REM),Max(RO.REM)&take=0","{""aggregations"":{""Min(RO.REM)"":""2018-03-07T00:00:00"",""Max(RO.REM)"":""2020-12-30T00:00:00""},""instances"":[],""mnemonic"":""RO""}","{""aggregations"":{""Min(RO.REM)"":""2018-03-07T00:00:00"",""Max(RO.REM)"":""2020-12-30T00:00:00""},""instances"":[],""mnemonic"":""RO""}",{},{},71,272,TRUE
